symbol,avg_daily_volume
INTC,103868593
PLUG,95784065
ONDS,95094227
DVLT,72927675
MOBX,65747662
AAL,65158828
QNCX,64216025
F,64023600
TSLA,61426032
SOFI,61212967
BBAI,57594007
NU,51865434
OPEN,51615112
AMZN,48542987
NFLX,48146850
PLTR,47684985
DNN,47026189
NIO,46892143
AAPL,46824523
SNAP,46638223
GRAB,45760333
PFE,45479944
RIG,44692670
BMNR,44256830
T,44172082
NOK,42109844
KVUE,41207034
BAC,41187687
LBGJ,40467682
BBD,40324574
BTG,39786872
JTAI,39662406
BYND,39510067
SIDU,38402915
CMCSA,37829307
VALE,37594207
IREN,37566470
GPUS,36962161
MU,36473915
IBRX,36403571
SMCI,36284858
AMC,36158043
BITF,35768142
ACHR,35435783
PATH,34422766
MSFT,33851734
HBAN,33260275
GOOGL,32622941
TPET,32582528
HIMS,32528561
VZ,31579853
RIVN,31484256
WMT,31157457
QBTS,31040161
RGTI,30473621
RENX,29898189
RKT,29804654
WULF,29558674
SRXH,29508588
ASNS,28690944
EVTV,28005346
CIFR,27966516
OWL,27354959
PBR,27220011
APLD,27098113
ORCL,26858864
WBD,26726326
BTBT,26675094
SOUN,26643123
AVGO,26476992
JOBY,26413202
ITUB,26211318
SMR,25906736
ALIT,25779923
RR,25458395
KOS,25436557
CRWV,25411562
AG,25361813
CLSK,25292670
EONR,25034275
SAFX,24938590
NVO,24815451
HL,24724985
CPNG,24675006
CDE,24634484
ABEV,24590610
CSCO,24221202
RXT,23845747
PYPL,23578821
RDW,23498829
CCL,22989222
RKLB,22803425
EOSE,22586764
NVTS,22338770
MSTR,22263719
RZLV,22086490
AGNC,21784435
PCG,21664777
WNW,20991932
IONQ,20952327
XOM,20910797
GOOG,20859335
NCLH,20858771
JBLU,20761967
FCX,20273404
UBER,20033383
COMP,19981633
AZTR,19692153
RXRX,19630990
BURU,19537155
SLB,19532661
BTE,19105208
VG,19065097
USAR,19058272
TE,18839112
HPQ,18668877
PINS,18657691
GGB,18654649
UWMC,18602136
RIOT,18362666
INFY,18333558
SNDK,18126053
AUR,18064903
CLF,17978231
KO,17954008
NOW,17930490
LYFT,17902941
CMG,17171195
STLA,17140346
HPE,17094230
TTD,17063621
NKE,17026010
WFC,16943994
LYG,16881581
U,16389943
KHC,16344956
KEY,16229173
MRVL,16168867
EZRA,16042787
CRML,16036311
RCAT,15690507
B,15531005
ET,15506669
CAN,15489197
JAN,15390447
ASTS,15371190
IOVA,15316165
C,15120816
GERN,15096303
GOSS,14876257
NCL,14860462
HAL,14860392
CVE,14835210
DKNG,14738342
OXY,14729850
UAMY,14702862
MREO,14696439
RF,14613862
EXK,14499497
CRCL,14497855
META,14475646
NBIS,14321654
FUBO,14289367
BSX,14259968
QUBT,14158808
OPTT,14150971
ORBS,13774873
KMI,13763504
ABTC,13743513
NFE,13692860
BMY,13684667
QS,13653660
BATL,13524831
WORX,13457037
PL,13454922
CAG,13451191
CGC,13442170
DOW,13442049
CSX,13426998
DVN,13414413
RITM,13357795
CNH,13350580
FFAI,13298678
FIG,13255446
UUUU,13244557
LUMN,13112632
LAC,12838289
SAN,12699038
LNAI,12685927
CCC,12590886
AES,12524930
UAA,12318169
PTON,12282815
IAUX,12251830
FITB,12123620
PR,12121177
MRK,12084325
BABA,11970993
AVTR,11926690
CRM,11795782
DIS,11755648
BP,11691050
SWMR,11690790
WIT,11574818
GXAI,11547979
LUNR,11485664
MRNA,11475113
RBLX,11443085
PG,11415947
KGC,11325610
CTRA,11229267
BULL,11166691
SHOP,11155255
PSKY,11144471
CORZ,11030119
TOST,11029442
MDLZ,11019172
SEGG,11017106
BE,11003618
JPM,10968836
VZLA,10957915
PTEN,10935416
UEC,10895661
USB,10886923
NAK,10674442
HIVE,10673911
FSLY,10579707
ADT,10458782
VTRS,10440009
KDP,10432408
OKLO,10429747
GLW,10424188
SCHW,10349502
SABR,10304624
CNQ,10296437
NEM,10199590
VICI,10177956
LUV,10104453
MO,10094582
UMC,10061792
PANW,10053992
JD,10048237
IQ,10040920
DAL,9988095
JEM,9987217
IOBT,9976366
EQX,9961589
TOVX,9959382
BAX,9931210
EQT,9923282
APH,9919032
FEED,9918152
UNH,9870762
BKR,9749826
COP,9670563
URG,9644324
NAMM,9611001
WDC,9596669
CXAI,9591688
SLS,9589481
RUN,9553468
TFC,9503071
GTM,9471160
ERIC,9432653
PSTV,9373600
CPRT,9334835
NXE,9304684
SBUX,9198594
BNAI,9195374
DOC,9138852
TEVA,9022438
MCHP,8958389
BRTX,8868856
POET,8843899
OLB,8831131
IAG,8785950
SATL,8765355
ZETA,8765198
JNJ,8743240
PAAS,8697448
CVS,8691447
PPL,8680866
VRT,8676165
LIMN,8675052
XWEL,8650162
AMPX,8626341
EXC,8624909
GIS,8622974
YMM,8592300
CCHH,8574689
NLY,8573709
WEN,8496604
ON,8485703
CHOW,8474292
WU,8454763
S,8438059
XYZ,8417998
MOS,8390496
FISV,8365030
HST,8355684
HLN,8320732
IOT,8316931
SOC,8279184
AXTI,8258246
COTY,8253733
GM,8196526
VNRX,8192450
DELL,8183544
VLY,8169999
ISPC,8084606
MDT,8073311
HCWB,8064727
LAES,8056120
PEP,8049134
OSCR,8011899
UAVS,7967518
MBLY,7960351
QXO,7956925
CPB,7920609
TME,7887992
LYB,7873470
TMC,7858325
FSM,7846506
AIFF,7837855
STM,7815929
GAP,7812672
PRSO,7788242
SBSW,7760786
CHWY,7756151
AAOI,7744530
V,7736582
ANET,7728500
SES,7714429
BX,7707976
USAS,7681350
ASX,7660830
FOLD,7622380
TXN,7617395
M,7590643
BTDR,7581707
AA,7576017
CRGY,7568679
AMAT,7489169
RIME,7487797
HDB,7481650
OCGN,7480293
ACI,7476213
APA,7437321
BA,7432307
TGB,7423791
XAIR,7422423
MP,7397169
BCS,7347055
LCID,7308816
GT,7305795
ABBV,7294479
ARCC,7274393
MGRX,7260278
COHR,7258622
KKR,7237665
BB,7209765
CLVT,7204885
BIAF,7175669
CARR,7163167
WMB,7161300
MS,7161289
GILD,7161019
GME,7147555
ORC,7120015
XPEV,7108084
AIIO,7105087
TRX,7096316
GPK,7068869
IVF,7039974
SBET,7028643
KR,7020048
ACN,7008664
PACB,6987484
DT,6984200
UCAR,6981237
HXHX,6977510
INVH,6944785
UPS,6921742
FRMI,6892715
AI,6870730
DX,6863484
CRDO,6833968
KALA,6831690
CSGP,6811224
WY,6806224
HUMA,6803098
TMDE,6801669
AMCR,6771337
ASM,6762832
TSCO,6756834
TGT,6734944
FNB,6731519
DCH,6721142
ROIV,6720364
MPT,6719235
CX,6697563
GEN,6696592
ENPH,6687018
SM,6677416
IP,6670292
VFC,6636413
CCO,6632523
BOXL,6628889
O,6615434
BORR,6604852
EQNR,6568473
XP,6552787
HUN,6536416
SATS,6535404
CTSH,6530003
VNET,6516163
SVM,6498539
ALBT,6487389
MTCH,6478895
IBN,6472617
AGL,6453811
GENI,6392107
ARRY,6384433
TDOC,6356786
AFRM,6316282
CNC,6309378
UAL,6304810
GLXY,6304403
CMCT,6299853
FHN,6284347
ENVX,6258335
ERAS,6216207
OBDC,6190029
JHX,6151632
CZR,6148031
SHEL,6145224
CTMX,6132800
GORO,6120414
SW,6112766
HBM,6111315
SUNB,6107653
MNST,6104225
OCUL,6085653
TMUS,6083899
SONY,6077896
RTX,6065630
AR,6048707
ORLY,6041283
NWL,6029834
BFLY,6007961
ENSC,6004862
D,6001690
ARM,5984881
PAYP,5972419
SGMO,5956400
SO,5924676
MDLN,5904818
GTLB,5904412
PRMB,5904028
AGRZ,5898579
SE,5883325
APP,5883100
HTZ,5882357
KIM,5869581
TEAM,5868832
CLOV,5865276
NAKA,5846239
ATON,5836755
DJT,5834063
DBRG,5827806
IBM,5808547
AEO,5799831
ALLO,5798164
USEG,5766367
KMB,5763656
FRSH,5748751
SERV,5740778
DDOG,5730385
AUID,5723303
TU,5721344
MIMI,5717367
ADBE,5701488
LITE,5695498
SNOW,5680292
HYMC,5652031
KLAR,5645830
IVZ,5635050
MNKD,5581439
SOPA,5580240
UPXI,5574362
NUAI,5571833
NUVB,5558170
BN,5539090
SLDP,5508361
COF,5506719
CIG,5469531
MVIS,5469486
VST,5425789
ASPI,5423581
GE,5409501
FIGR,5406344
LVS,5390888
LGVN,5372993
CNP,5367779
RDDT,5365130
GUTS,5336312
TEM,5328457
STNE,5327526
SU,5323759
PM,5320218
EOG,5315921
ABAT,5314319
NB,5308239
AEG,5303978
SID,5301156
FLNC,5289911
BEN,5289498
OTLK,5270779
BBWI,5269338
CRH,5268436
CFG,5253112
GSK,5240604
FLG,5240047
UPST,5231234
