symbol,avg_daily_volume
A,2266051
AA,7576017
AAL,65158828
AAOI,7744530
AAON,952475
AAP,1989277
AAPL,46824523
ABAT,5314319
ABBV,7294479
ABCL,4068799
ABEO,1221468
ABEV,24590610
ABNB,4574956
ABR,4287303
ABSI,3483675
ABT,11951585
ABTC,13743513
ABUS,2089516
ABVE,1702476
ABVX,1278977
ACAD,1609485
ACB,1023770
ACDC,1256965
ACGL,1976577
ACH,1294769
ACHC,3625586
ACHR,35435783
ACI,7476213
ACLX,2172643
ACM,1494271
ACMR,1493947
ACN,7008664
ACRS,2230103
ACRV,1693949
ACVA,3125676
ACXP,3059319
ADBE,5701488
ADC,1320053
ADI,3978719
ADM,4038245
ADMA,2926633
ADNT,1092083
ADP,3639791
ADPT,2005508
ADSK,2150458
ADT,10458782
ADTN,1288561
AEE,1708068
AEG,5303978
AEHR,1420036
AEM,2813432
AEO,5799831
AEP,3640830
AER,1304728
AES,12524930
AESI,2690490
AEVA,2698643
AFL,2292892
AFRM,6316282
AG,25361813
AGAE,4186169
AGI,4013706
AGIG,1168879
AGIO,1016346
AGL,6453811
AGNC,21784435
AGRO,1065236
AGRZ,5898579
AHCO,1238139
AHR,2783929
AHRT,1704954
AI,6870730
AIB,3008016
AIFF,7837855
AIG,4562164
AIIO,7105087
AIM,4533704
AIOS,1662317
AIOT,1530007
AIRE,4299095
AIRS,2586179
AIV,3322064
AIXI,1125390
AJG,2362229
AKAM,4179411
AKBA,3344735
AKR,1269471
AL,1854586
ALAB,5108642
ALB,2807232
ALBT,6487389
ALC,1610214
ALDX,2572656
ALEC,952464
ALGM,2462815
ALGN,1236602
ALHC,2975409
ALIT,25779923
ALK,3842482
ALKS,2060287
ALKT,1954431
ALL,1679584
ALLO,5798164
ALLY,3720650
ALM,4871573
ALMS,2963269
ALNY,1341201
ALT,4785717
ALTO,1589897
ALTS,3786945
AM,2791885
AMAT,7489169
AMBP,1386113
AMC,36158043
AMCI,994446
AMCR,6771337
AMD,35775432
AME,1379258
AMGN,2819542
AMH,4408403
AMIX,3246259
AMKR,4336359
AMLX,1300096
AMN,1352837
AMOD,2239454
AMPL,1989358
AMPX,8626341
AMRX,2638443
AMRZ,3327082
AMSC,1030211
AMT,3121064
AMTM,2058539
AMTX,1128013
AMX,2427724
AMZE,3334198
AMZN,48542987
ANET,7728500
ANF,1654590
ANGI,1292054
ANNA,3936230
ANNAW,1877974
ANNX,2707077
ANTX,1324379
AON,1393135
AOS,1373212
APA,7437321
APD,1492302
APG,2542003
APGE,988339
APH,9919032
APLD,27098113
APLE,2374224
APLS,2811915
APO,4951702
APP,5883100
APPN,1028597
APPS,2892853
APRE,2107272
APTV,2299334
AQN,4879993
AQST,4778709
AR,6048707
ARAI,1007162
ARAY,1141069
ARBE,4598971
ARCC,7274393
ARCO,1394035
ARDX,4655846
ARE,2467699
AREC,4117185
ARES,3766939
ARHS,1276319
ARI,1320062
ARIS,2106112
ARLO,1417494
ARM,5984881
ARMK,2920736
AROC,1577900
ARQT,1516797
ARR,3660967
ARRY,6384433
ARTL,1381726
ARWR,2908810
ARX,1151959
AS,4518429
ASAN,5196926
ASB,2365974
ASBP,966593
ASM,6762832
ASML,1724574
ASNS,28690944
ASO,1577938
ASPI,5423581
ASPN,1721894
ASST,4702258
ASTI,3052528
ASTL,1648863
ASTS,15371190
ASX,7660830
ATAI,4847747
ATAT,1148254
ATCH,4602029
ATEC,3008157
ATI,1938612
ATO,1360475
ATOM,2272115
ATON,5836755
ATPC,2161145
ATXG,1641828
ATYR,1813246
AU,3030782
AUB,1070620
AUGO,976722
AUID,5723303
AUPH,983710
AUR,18064903
AUST,1531068
AUTL,1903565
AUUD,2239079
AVAH,1246785
AVAV,1838451
AVB,1102098
AVGO,26476992
AVPT,1983413
AVR,1279979
AVT,1110569
AVTR,11926690
AVXL,1433072
AWK,1726752
AXGN,961326
AXIA,2170915
AXP,3519363
AXTA,3248514
AXTI,8258246
AZN,2929934
AZTR,19692153
B,15531005
BA,7432307
BABA,11970993
BAC,41187687
BAH,2484302
BAK,2148583
BALL,2147214
BAM,3359238
BANC,2704650
BANL,1027147
BARK,1706238
BATL,13524831
BAX,9931210
BB,7209765
BBAI,57594007
BBBY,1832487
BBD,40324574
BBIO,2841025
BBNX,1282036
BBVA,2048766
BBWI,5269338
BBY,4708367
BC,983409
BCAB,2455635
BCE,3464380
BCRX,5111458
BCS,7347055
BDMD,2071967
BDN,3720921
BDSX,1443594
BDX,2702985
BE,11003618
BEAM,1843277
BEAT,1618685
BEEM,1378732
BEKE,4783789
BEN,5289498
BEPC,1081681
BETA,1401704
BFLY,6007961
BG,1759952
BGC,2330433
BGL,1396250
BGS,2171707
BHC,2304979
BHP,4316764
BHVN,2800689
BIAF,7175669
BIDU,2872655
BIIB,1321597
BILI,2772346
BILL,2806016
BIRK,2654741
BITF,35768142
BJ,1853265
BK,3620503
BKD,4918418
BKH,968313
BKKT,1521362
BKR,9749826
BKSY,1479363
BKYI,3244478
BL,1192292
BLDP,3167101
BLDR,2290241
BLMN,2862809
BLND,3525952
BLNK,2846890
BLSH,1914706
BMBL,4082055
BMEA,1087954
BMNR,44256830
BMRN,2287690
BMY,13684667
BN,5539090
BNAI,9195374
BNKK,1376098
BNL,1791247
BNS,2024920
BNTX,1216015
BOBS,1653694
BORR,6604852
BOX,2657620
BOXL,6628889
BP,11691050
BPRE,1055061
BR,1342142
BRBR,3932138
BRCC,1062355
BRKR,2384748
BRLS,1507167
BRO,3259772
BROS,4804287
BRSL,1549737
BRTX,8868856
BRX,2929242
BRZE,2724100
BSBR,1006122
BSX,14259968
BSY,3030223
BTAI,1353199
BTBT,26675094
BTDR,7581707
BTE,19105208
BTG,39786872
BTGO,1412612
BTI,4760774
BTQ,2298502
BTSG,2377341
BTTC,1303163
BTU,3133538
BUD,2270765
BULL,11166691
BUR,1839717
BURU,19537155
BVN,1823339
BW,3942552
BWA,2948762
BWIN,1647950
BWXT,995373
BX,7707976
BXMT,1382022
BXP,2513249
BXSL,2571074
BYND,39510067
BZ,3820972
BZAI,2514208
C,15120816
CABA,2969789
CADL,1065657
CAG,13451191
CAH,1747583
CAI,2519984
CAKE,1369384
CALC,1227135
CALM,1238111
CALX,1049912
CALY,3008836
CAN,15489197
CANG,998433
CAPR,1436431
CAPT,1475977
CARG,1253691
CARR,7163167
CARS,1248847
CART,5118630
CAT,2814388
CATX,3496028
CAVA,3689045
CB,1708777
CBRE,2132206
CBRL,1438953
CBSH,1334040
CBZ,1143731
CC,3532994
CCC,12590886
CCCC,2033501
CCEP,1746559
CCHH,8574689
CCI,3296473
CCJ,4155129
CCK,1139924
CCL,22989222
CCO,6632523
CCOI,1242479
CDE,24634484
CDIO,3989328
CDNS,2385105
CDP,1226500
CDW,1735260
CDXS,2203236
CE,2448526
CEG,3598072
CELH,4949279
CENN,2311364
CENX,2375388
CERS,1648033
CERT,2867581
CETX,4131005
CF,3895294
CFFN,1000505
CFG,5253112
CG,3061596
CGAU,2173230
CGC,13442170
CGNX,2161517
CGON,1302991
CGTL,1287821
CHD,2312085
CHGG,1189788
CHKP,1256023
CHOW,8474292
CHRD,1008886
CHRS,2192898
CHRW,2243584
CHTR,1882660
CHWY,7756151
CHYM,3867865
CI,1717522
CIEN,3271952
CIFR,27966516
CIG,5469531
CISS,3723135
CJMB,3595054
CL,6843683
CLBT,1664327
CLF,17978231
CLM,2536444
CLMT,1329749
CLNE,1254980
CLOV,5865276
CLS,2453891
CLSK,25292670
CLVT,7204885
CLX,2198666
CM,1223319
CMBT,2126591
CMC,1245922
CMCSA,37829307
CMCT,6299853
CME,2188831
CMG,17171195
CMPS,2787955
CMPX,2227238
CMRC,1069065
CMS,3010443
CNC,6309378
CNDT,1518369
CNEY,2174764
CNH,13350580
CNI,1682251
CNK,2573581
CNM,2070793
CNP,5367779
CNQ,10296437
CNTA,1287979
CNTX,1564817
CNX,2347570
CNXC,1282394
CODI,1358193
CODX,1968611
COF,5506719
COGT,2094396
COHR,7258622
COIN,11781331
COLB,2939245
COLD,4929067
COMP,19981633
COO,2068225
COP,9670563
COR,1245896
CORT,2272390
CORZ,11030119
COST,2254534
COTY,8253733
COUR,4858675
CP,2542338
CPB,7920609
CPNG,24675006
CPRI,2986995
CPRT,9334835
CPRX,1248284
CPT,1202257
CRBG,3899816
CRBU,1212196
CRC,954357
CRCL,14497855
CRDF,1146358
CRDO,6833968
CREG,1891960
CRF,1691461
CRGY,7568679
CRH,5268436
CRI,1275757
CRK,2513515
CRM,11795782
CRMD,2555987
CRML,16036311
CRNC,950185
CRNX,1195130
CRON,1369313
CROX,1282770
CRSP,1940892
CRSR,2248990
CRVS,3482342
CRWD,3770404
CRWV,25411562
CSAN,2331125
CSCO,24221202
CSGP,6811224
CSIQ,3149417
CSTE,1048619
CSTM,2017838
CSX,13426998
CTAS,1960737
CTLP,1227001
CTM,1397229
CTMX,6132800
CTRA,11229267
CTRE,2993374
CTRI,1380176
CTSH,6530003
CTVA,3923948
CUBE,2470254
CUE,1766700
CUK,2703764
CURV,1193864
CURX,4335937
CUZ,2087364
CVBF,1441538
CVE,14835210
CVGI,1060861
CVI,1451299
CVLT,1070834
CVNA,3787868
CVS,8691447
CVX,12510212
CWAN,12530421
CWEN,1029508
CWH,2962761
CWK,2066364
CX,6697563
CXAI,9591688
CXM,2580242
CXW,1136139
CYCN,1486755
CYH,1612607
CYN,3659225
CYPH,2973694
CYTK,2021148
CZR,6148031
D,6001690
DAIC,3166311
DAL,9988095
DAN,1601498
DAR,2580975
DASH,4903772
DAWN,4370669
DB,3210495
DBRG,5827806
DBX,4074735
DC,1822037
DCH,6721142
DD,4701176
DDD,3667193
DDL,2399794
DDOG,5730385
DE,1585206
DECK,2646813
DEFT,4205088
DEI,2713927
DELL,8183544
DEO,1973313
DEVS,969470
DFDV,1514744
DFNS,1898231
DFTX,1831700
DG,3149621
DGNX,3385927
DGX,962658
DGXX,2684156
DHC,2173369
DHI,3062789
DHR,3845248
DHT,4082881
DINO,2960667
DIS,11755648
DJT,5834063
DK,1508729
DKI,4747016
DKNG,14738342
DKS,1219708
DLO,1254468
DLR,1995698
DLTR,3088599
DLXY,1619843
DNA,1082996
DNLI,1629759
DNN,47026189
DNOW,3112055
DNTH,994693
DNUT,2443067
DOC,9138852
DOCN,3118781
DOCS,3428983
DOCU,4645264
DOGZ,1146817
DOMO,1847171
DOV,1252679
DOW,13442049
DOX,1308553
DPRO,2151462
DRCT,2674658
DRH,2602194
DRI,1609266
DRMA,3394711
DRS,1217060
DRVN,1573829
DT,6984200
DTE,1525015
DUK,4389015
DUOL,2672577
DV,2710237
DVA,1072914
DVLT,72927675
DVN,13414413
DVS,1568565
DX,6863484
DXC,2385148
DXCM,4939099
DXST,1891170
DXYZ,1082796
DYN,2231370
EA,2481930
EAT,1209182
EBAY,5202620
EBC,2051099
EBS,956775
EC,3302216
ECC,2453109
ECL,1346802
ECVT,1648637
ECX,4897955
ED,2170072
EDIT,1791812
EDSA,4276101
EFC,2178572
EFX,1696911
EGO,2462537
EGY,1407717
EHAB,1256311
EHC,1191170
EIX,3460234
EJH,1540479
EKSO,2092047
EL,3968437
ELAN,4859119
ELBM,1114149
ELDN,1012411
ELF,2086706
ELME,4150548
ELS,1937106
ELV,1860887
ELVN,1081361
EMBJ,1135914
EMN,1757183
EMPD,962344
EMR,3250251
ENB,5068260
ENOV,1094540
ENPH,6687018
ENR,1275212
ENSC,6004862
ENTG,2915826
ENVX,6258335
EOG,5315921
EOLS,1304038
EONR,25034275
EOSE,22586764
EPAM,1147711
EPD,4423412
EPRT,1987833
EQH,3008343
EQNR,6568473
EQPT,1862902
EQR,2552149
EQT,9923282
EQX,9961589
ERAS,6216207
ERIC,9432653
ERNA,1600626
ERO,1805021
ES,2610873
ESI,2633511
ESPR,4894387
ESRT,1626070
ESTC,2054026
ET,15506669
ETN,2866809
ETOR,1376228
ETR,2561195
ETSY,3555313
EU,3332468
EVEX,1193163
EVGO,3989278
EVH,3093861
EVLV,2997073
EVRG,2190866
